HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Real Sociedad,Valencia,La_Liga,2020-09-29,0,1,0.59,0.84,11,9,3,5,12,4,7.19,11.33,1.01,1.61
Nantes,Saint-Etienne,Ligue_1,2020-09-20,2,2,1.34,1.04,15,6,3,4,8,3,8.0,10.55,1.56,1.05
Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
Werder Bremen,Hertha Berlin,Bundesliga,2020-09-19,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
Southampton,Tottenham,Premier_League,2020-09-20,2,5,2.28,2.28,14,9,7,6,4,3,8.67,10.78,1.34,1.39
SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
FC Krasnodar,Khimki,RFPL,2020-09-18,7,2,5.32,0.98,28,6,16,2,25,2,7.17,21.0,2.97,0.02
Verona,Roma,Serie_A,2020-09-19,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
Lyon,Nimes,Ligue_1,2020-09-18,0,0,1.63,0.71,15,10,3,3,10,2,2.91,13.52,2.15,0.61
Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
Getafe,Osasuna,La_Liga,2020-09-19,1,0,0.7,0.49,7,10,1,3,2,3,6.17,12.5,1.54,1.05
Juventus,Sampdoria,Serie_A,2020-09-20,3,0,2.14,0.61,20,15,8,1,10,1,6.79,21.65,2.55,0.3
Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
FC Cologne,Hoffenheim,Bundesliga,2020-09-19,2,3,2.41,2.9,13,13,6,7,5,10,11.91,11.54,0.99,1.76
Benevento,Inter,Serie_A,2020-09-30,2,5,1.25,4.53,11,18,6,8,2,12,21.35,7.32,0.06,2.9
Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
Villarreal,Eibar,La_Liga,2020-09-19,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
Arsenal,West Ham,Premier_League,2020-09-19,2,1,1.33,2.06,7,14,3,3,16,4,12.76,18.26,0.82,1.94
Manchester United,Crystal Palace,Premier_League,2020-09-19,1,3,1.1,1.91,17,14,4,5,9,4,3.31,13.59,0.75,2.02
Getafe,Real Betis,La_Liga,2020-09-29,3,0,0.91,0.44,8,10,4,2,1,3,13.84,3.58,1.81,0.83
Lens,Bordeaux,Ligue_1,2020-09-19,2,1,3.02,0.36,19,7,5,3,6,2,10.0,11.76,2.87,0.08
Paris Saint Germain,Metz,Ligue_1,2020-09-16,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
Leeds,Fulham,Premier_League,2020-09-19,4,3,1.45,1.56,10,14,7,6,5,4,7.62,9.42,1.26,1.43
Strasbourg,Dijon,Ligue_1,2020-09-20,1,0,2.38,0.49,17,5,6,2,10,5,13.45,20.18,2.68,0.21
Leicester,Burnley,Premier_League,2020-09-20,4,2,0.99,1.52,14,16,6,5,14,6,7.47,16.1,0.95,1.78
Rennes,Monaco,Ligue_1,2020-09-19,2,1,0.86,0.82,14,14,3,2,3,2,13.8,20.53,1.35,1.29
Arsenal Tula,PFC Sochi,RFPL,2020-09-20,3,2,0.75,1.42,12,13,5,4,4,4,15.67,8.33,0.72,1.98
Celta Vigo,Valencia,La_Liga,2020-09-19,2,1,2.34,0.46,23,9,6,3,8,2,9.41,8.82,2.69,0.2
Nice,Paris Saint Germain,Ligue_1,2020-09-20,0,3,0.93,3.33,14,14,5,6,6,11,25.15,15.13,0.13,2.8
Rubin Kazan,Spartak Moscow,RFPL,2020-09-20,0,2,1.69,0.31,23,6,7,1,15,4,7.35,5.82,2.45,0.35
Bayern Munich,Schalke 04,Bundesliga,2020-09-18,8,0,4.62,0.15,21,5,12,1,24,3,6.34,25.33,2.99,0.01
Granada,Alaves,La_Liga,2020-09-20,2,1,2.45,0.77,10,5,3,3,3,2,5.61,12.19,2.64,0.23
Montpellier,Angers,Ligue_1,2020-09-20,4,1,1.94,0.77,14,14,9,3,4,5,17.95,17.17,2.25,0.55
Fulham,Aston Villa,Premier_League,2020-09-28,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
Sassuolo,Cagliari,Serie_A,2020-09-20,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
Real Sociedad,Real Madrid,La_Liga,2020-09-20,0,0,0.72,0.77,6,16,1,4,4,7,13.24,7.0,1.26,1.37
Genoa,Crotone,Serie_A,2020-09-20,4,1,2.23,1.32,14,13,6,3,4,4,8.94,9.42,2.04,0.75
Union Berlin,Augsburg,Bundesliga,2020-09-19,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
Liverpool,Arsenal,Premier_League,2020-09-28,3,1,2.74,1.18,21,4,8,3,11,3,8.83,35.86,2.43,0.4
Lokomotiv Moscow,FC Tambov,RFPL,2020-09-20,1,0,1.21,0.18,11,5,6,2,5,4,8.35,12.89,2.35,0.39
FC Rostov,Lokomotiv Moscow,RFPL,2020-09-14,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
Wolfsburg,Bayer Leverkusen,Bundesliga,2020-09-20,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
Brest,Lorient,Ligue_1,2020-09-20,3,2,1.21,1.5,14,9,6,4,10,1,6.08,15.05,1.11,1.6
Parma Calcio 1913,Napoli,Serie_A,2020-09-20,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
VfB Stuttgart,Freiburg,Bundesliga,2020-09-19,2,3,2.16,2.07,26,7,7,6,12,4,7.62,12.11,1.41,1.35
Brighton,Chelsea,Premier_League,2020-09-14,1,3,1.44,1.27,13,10,3,5,3,6,9.34,12.7,1.48,1.21
Chelsea,Liverpool,Premier_League,2020-09-20,0,2,0.92,2.69,5,18,3,6,1,14,40.9,11.44,0.37,2.44
SD Huesca,Cadiz,La_Liga,2020-09-20,0,2,0.22,1.51,4,6,0,4,0,1,3.68,12.0,0.18,2.69
Real Madrid,Real Valladolid,La_Liga,2020-09-30,1,0,2.65,0.54,15,11,5,5,9,2,11.21,17.74,2.76,0.16
Lazio,Atalanta,Serie_A,2020-09-30,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
Marseille,Saint-Etienne,Ligue_1,2020-09-17,0,2,2.65,1.03,13,12,2,5,10,4,8.77,10.17,2.44,0.41
Everton,West Bromwich Albion,Premier_League,2020-09-19,5,2,4.16,0.32,17,6,7,4,6,6,9.1,41.5,2.99,0.0
Ural,Zenit St. Petersburg,RFPL,2020-09-19,1,1,0.6,1.49,8,18,2,6,8,5,10.75,14.74,0.64,2.09
Newcastle United,Brighton,Premier_League,2020-09-20,0,3,0.52,1.88,6,13,0,6,3,3,11.95,10.84,0.31,2.51
Marseille,Lille,Ligue_1,2020-09-20,1,1,0.87,1.49,11,14,2,7,5,7,8.12,11.46,0.81,1.9
Sheffield United,Wolverhampton Wanderers,Premier_League,2020-09-14,0,2,0.95,1.61,9,11,2,4,10,3,8.23,31.33,0.8,1.91
Udinese,Spezia,Serie_A,2020-09-30,0,2,1.87,0.81,13,4,3,2,11,0,14.13,12.94,2.21,0.56
RasenBallsport Leipzig,Mainz 05,Bundesliga,2020-09-20,3,1,3.23,1.07,23,9,10,1,14,2,6.19,29.59,2.63,0.25
FC Ufa,CSKA Moscow,RFPL,2020-09-20,0,1,0.37,2.52,12,23,3,10,2,15,10.57,7.59,0.17,2.73
Fiorentina,Torino,Serie_A,2020-09-19,1,0,2.35,0.62,16,6,5,3,9,2,9.47,6.86,2.62,0.25
Metz,Reims,Ligue_1,2020-09-20,2,1,1.71,1.18,14,10,4,4,3,6,4.76,14.25,1.84,0.86
Real Betis,Real Valladolid,La_Liga,2020-09-20,2,0,1.77,0.29,16,9,6,2,1,2,6.83,9.04,2.6,0.25
Montpellier,Lyon,Ligue_1,2020-09-15,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
