,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
193,PFC Sochi,Ural,RFPL,2020-08-30,0,0,0.41,0.65,13,10,1,2,5,5,11.57,14.06,1.03,1.53
194,FC Krasnodar,FC Rostov,RFPL,2020-08-30,1,1,1.55,0.63,23,14,7,4,21,6,6.76,11.26,2.12,0.64
195,Angers,Bordeaux,Ligue_1,2020-08-30,0,2,0.51,2.29,12,7,2,7,6,2,8.32,7.97,0.24,2.63
196,Reims,Lille,Ligue_1,2020-08-30,0,1,0.21,0.91,4,10,0,3,0,0,10.81,16.39,0.59,2.04
197,Nantes,Nimes,Ligue_1,2020-08-30,2,1,2.16,0.87,8,17,5,9,1,8,16.71,5.96,2.36,0.46
198,Metz,Monaco,Ligue_1,2020-08-30,0,1,0.63,0.19,14,3,4,2,4,2,8.74,10.37,1.76,0.77
199,Brest,Marseille,Ligue_1,2020-08-30,2,3,2.13,1.32,19,7,4,4,11,3,6.34,14.33,1.99,0.77
200,Lokomotiv Moscow,Zenit St. Petersburg,RFPL,2020-08-30,0,0,0.3,0.61,7,9,1,0,8,11,12.29,11.12,0.91,1.62
201,Lens,Paris Saint Germain,Ligue_1,2020-09-10,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
202,Bordeaux,Lyon,Ligue_1,2020-09-11,0,0,0.23,1.8,5,20,0,3,2,13,15.88,5.15,0.26,2.57
203,Eibar,Celta Vigo,La_Liga,2020-09-12,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
204,Crystal Palace,Southampton,Premier_League,2020-09-12,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
205,Fulham,Arsenal,Premier_League,2020-09-12,0,3,0.13,2.16,5,13,2,6,0,11,32.69,21.93,0.06,2.89
206,West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
207,Montpellier,Nice,Ligue_1,2020-09-12,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
208,Liverpool,Leeds,Premier_League,2020-09-12,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
209,FK Akhmat,PFC Sochi,RFPL,2020-09-12,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
210,FC Tambov,FC Ufa,RFPL,2020-09-12,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
211,Saint-Etienne,Strasbourg,Ligue_1,2020-09-12,2,0,1.76,1.3,10,14,4,6,2,4,9.8,9.09,1.84,0.89
212,Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
213,Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
214,Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
215,Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
216,West Bromwich Albion,Leicester,Premier_League,2020-09-13,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
217,Paris Saint Germain,Marseille,Ligue_1,2020-09-13,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
218,Tottenham,Everton,Premier_League,2020-09-13,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
219,CSKA Moscow,Spartak Moscow,RFPL,2020-09-13,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
220,Monaco,Nantes,Ligue_1,2020-09-13,2,1,2.27,1.11,18,7,5,2,8,5,9.07,17.0,2.15,0.64
221,Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
222,Dinamo Moscow,Rubin Kazan,RFPL,2020-09-13,0,1,0.6,1.59,15,16,3,6,2,3,8.0,6.86,0.53,2.23
223,Dijon,Brest,Ligue_1,2020-09-13,0,2,0.3,2.2,7,19,3,5,5,4,11.43,9.97,0.18,2.71
224,Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
225,Valencia,Levante,La_Liga,2020-09-13,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
226,Alaves,Real Betis,La_Liga,2020-09-13,0,1,1.18,0.34,7,11,2,4,1,4,8.56,9.94,2.37,0.4
227,Lille,Metz,Ligue_1,2020-09-13,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
228,Real Valladolid,Real Sociedad,La_Liga,2020-09-13,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
229,Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
230,FC Rostov,Lokomotiv Moscow,RFPL,2020-09-14,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
231,Sheffield United,Wolverhampton Wanderers,Premier_League,2020-09-14,0,2,0.95,1.61,9,11,2,4,10,3,8.23,31.33,0.8,1.91
232,Brighton,Chelsea,Premier_League,2020-09-14,1,3,1.44,1.27,13,10,3,5,3,6,9.34,12.7,1.48,1.21
233,Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
234,Montpellier,Lyon,Ligue_1,2020-09-15,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
235,Paris Saint Germain,Metz,Ligue_1,2020-09-16,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
236,Marseille,Saint-Etienne,Ligue_1,2020-09-17,0,2,2.65,1.03,13,12,2,5,10,4,8.77,10.17,2.44,0.41
237,Bayern Munich,Schalke 04,Bundesliga,2020-09-18,8,0,4.62,0.15,21,5,12,1,24,3,6.34,25.33,2.99,0.01
238,Lyon,Nimes,Ligue_1,2020-09-18,0,0,1.63,0.71,15,10,3,3,10,2,2.91,13.52,2.15,0.61
239,FC Krasnodar,Khimki,RFPL,2020-09-18,7,2,5.32,0.98,28,6,16,2,25,2,7.17,21.0,2.97,0.02
240,Lens,Bordeaux,Ligue_1,2020-09-19,2,1,3.02,0.36,19,7,5,3,6,2,10.0,11.76,2.87,0.08
241,Manchester United,Crystal Palace,Premier_League,2020-09-19,1,3,1.1,1.91,17,14,4,5,9,4,3.31,13.59,0.75,2.02
242,Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
243,Werder Bremen,Hertha Berlin,Bundesliga,2020-09-19,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
244,VfB Stuttgart,Freiburg,Bundesliga,2020-09-19,2,3,2.16,2.07,26,7,7,6,12,4,7.62,12.11,1.41,1.35
245,Fiorentina,Torino,Serie_A,2020-09-19,1,0,2.35,0.62,16,6,5,3,9,2,9.47,6.86,2.62,0.25
246,Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
247,Villarreal,Eibar,La_Liga,2020-09-19,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
248,Ural,Zenit St. Petersburg,RFPL,2020-09-19,1,1,0.6,1.49,8,18,2,6,8,5,10.75,14.74,0.64,2.09
249,Everton,West Bromwich Albion,Premier_League,2020-09-19,5,2,4.16,0.32,17,6,7,4,6,6,9.1,41.5,2.99,0.0
250,FC Cologne,Hoffenheim,Bundesliga,2020-09-19,2,3,2.41,2.9,13,13,6,7,5,10,11.91,11.54,0.99,1.76
251,Verona,Roma,Serie_A,2020-09-19,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
252,Union Berlin,Augsburg,Bundesliga,2020-09-19,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
253,Getafe,Osasuna,La_Liga,2020-09-19,1,0,0.7,0.49,7,10,1,3,2,3,6.17,12.5,1.54,1.05
254,Rennes,Monaco,Ligue_1,2020-09-19,2,1,0.86,0.82,14,14,3,2,3,2,13.8,20.53,1.35,1.29
255,Arsenal,West Ham,Premier_League,2020-09-19,2,1,1.33,2.06,7,14,3,3,16,4,12.76,18.26,0.82,1.94
256,Celta Vigo,Valencia,La_Liga,2020-09-19,2,1,2.34,0.46,23,9,6,3,8,2,9.41,8.82,2.69,0.2
257,Leeds,Fulham,Premier_League,2020-09-19,4,3,1.45,1.56,10,14,7,6,5,4,7.62,9.42,1.26,1.43
258,Sassuolo,Cagliari,Serie_A,2020-09-20,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
259,SD Huesca,Cadiz,La_Liga,2020-09-20,0,2,0.22,1.51,4,6,0,4,0,1,3.68,12.0,0.18,2.69
260,Brest,Lorient,Ligue_1,2020-09-20,3,2,1.21,1.5,14,9,6,4,10,1,6.08,15.05,1.11,1.6
261,Montpellier,Angers,Ligue_1,2020-09-20,4,1,1.94,0.77,14,14,9,3,4,5,17.95,17.17,2.25,0.55
262,Juventus,Sampdoria,Serie_A,2020-09-20,3,0,2.14,0.61,20,15,8,1,10,1,6.79,21.65,2.55,0.3
263,Chelsea,Liverpool,Premier_League,2020-09-20,0,2,0.92,2.69,5,18,3,6,1,14,40.9,11.44,0.37,2.44
264,Metz,Reims,Ligue_1,2020-09-20,2,1,1.71,1.18,14,10,4,4,3,6,4.76,14.25,1.84,0.86
265,Strasbourg,Dijon,Ligue_1,2020-09-20,1,0,2.38,0.49,17,5,6,2,10,5,13.45,20.18,2.68,0.21
266,Genoa,Crotone,Serie_A,2020-09-20,4,1,2.23,1.32,14,13,6,3,4,4,8.94,9.42,2.04,0.75
267,Arsenal Tula,PFC Sochi,RFPL,2020-09-20,3,2,0.75,1.42,12,13,5,4,4,4,15.67,8.33,0.72,1.98
268,Marseille,Lille,Ligue_1,2020-09-20,1,1,0.87,1.49,11,14,2,7,5,7,8.12,11.46,0.81,1.9
269,Parma Calcio 1913,Napoli,Serie_A,2020-09-20,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
270,Southampton,Tottenham,Premier_League,2020-09-20,2,5,2.28,2.28,14,9,7,6,4,3,8.67,10.78,1.34,1.39
271,Real Sociedad,Real Madrid,La_Liga,2020-09-20,0,0,0.72,0.77,6,16,1,4,4,7,13.24,7.0,1.26,1.37
272,Nice,Paris Saint Germain,Ligue_1,2020-09-20,0,3,0.93,3.33,14,14,5,6,6,11,25.15,15.13,0.13,2.8
273,Granada,Alaves,La_Liga,2020-09-20,2,1,2.45,0.77,10,5,3,3,3,2,5.61,12.19,2.64,0.23
274,Nantes,Saint-Etienne,Ligue_1,2020-09-20,2,2,1.34,1.04,15,6,3,4,8,3,8.0,10.55,1.56,1.05
275,Lokomotiv Moscow,FC Tambov,RFPL,2020-09-20,1,0,1.21,0.18,11,5,6,2,5,4,8.35,12.89,2.35,0.39
276,Leicester,Burnley,Premier_League,2020-09-20,4,2,0.99,1.52,14,16,6,5,14,6,7.47,16.1,0.95,1.78
277,Rubin Kazan,Spartak Moscow,RFPL,2020-09-20,0,2,1.69,0.31,23,6,7,1,15,4,7.35,5.82,2.45,0.35
278,Newcastle United,Brighton,Premier_League,2020-09-20,0,3,0.52,1.88,6,13,0,6,3,3,11.95,10.84,0.31,2.51
279,Wolfsburg,Bayer Leverkusen,Bundesliga,2020-09-20,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
280,RasenBallsport Leipzig,Mainz 05,Bundesliga,2020-09-20,3,1,3.23,1.07,23,9,10,1,14,2,6.19,29.59,2.63,0.25
281,Real Betis,Real Valladolid,La_Liga,2020-09-20,2,0,1.77,0.29,16,9,6,2,1,2,6.83,9.04,2.6,0.25
282,FC Ufa,CSKA Moscow,RFPL,2020-09-20,0,1,0.37,2.52,12,23,3,10,2,15,10.57,7.59,0.17,2.73
283,AC Milan,Bologna,Serie_A,2020-09-21,2,0,2.94,0.83,17,13,5,4,6,3,9.26,13.5,2.67,0.23
284,Wolverhampton Wanderers,Manchester City,Premier_League,2020-09-21,1,3,0.73,2.08,10,14,1,9,3,9,30.71,7.6,0.42,2.41
285,Dinamo Moscow,FK Akhmat,RFPL,2020-09-21,1,0,1.14,0.85,22,10,3,4,10,5,5.48,11.5,1.57,1.12
286,Aston Villa,Sheffield United,Premier_League,2020-09-21,1,0,0.81,0.85,18,4,2,1,17,2,4.45,17.64,1.16,1.46
287,Hertha Berlin,Eintracht Frankfurt,Bundesliga,2020-09-25,1,3,1.56,1.62,12,11,6,3,3,6,13.44,15.8,1.31,1.39
288,Lille,Nantes,Ligue_1,2020-09-25,2,0,2.09,0.66,12,12,4,7,9,2,8.0,10.1,2.49,0.35
289,Sampdoria,Benevento,Serie_A,2020-09-26,2,3,1.36,1.27,9,14,3,5,2,5,14.43,8.31,1.43,1.25
290,Brighton,Manchester United,Premier_League,2020-09-26,2,3,2.98,1.58,18,7,5,3,10,6,6.64,11.13,2.34,0.48
291,Zenit St. Petersburg,FC Ufa,RFPL,2020-09-26,6,0,2.82,0.46,23,6,8,4,16,5,31.57,32.27,2.79,0.13
292,Saint-Etienne,Rennes,Ligue_1,2020-09-26,0,3,0.2,1.37,6,10,4,6,4,4,18.39,11.48,0.36,2.4
293,Augsburg,Borussia Dortmund,Bundesliga,2020-09-26,2,0,1.45,1.53,6,18,4,6,2,13,27.94,5.05,1.32,1.4
294,Crystal Palace,Everton,Premier_League,2020-09-26,1,2,0.44,2.27,8,10,1,5,4,3,12.03,7.3,0.19,2.7
295,West Bromwich Albion,Chelsea,Premier_League,2020-09-26,3,3,0.91,2.36,9,22,3,10,3,12,40.82,4.52,0.41,2.42
296,PFC Sochi,FC Krasnodar,RFPL,2020-09-26,1,1,1.03,1.39,7,26,2,9,1,17,16.73,4.64,1.1,1.59
297,Torino,Atalanta,Serie_A,2020-09-26,2,4,0.77,2.47,7,19,4,7,3,14,11.72,10.8,0.35,2.49
298,Bayer Leverkusen,RasenBallsport Leipzig,Bundesliga,2020-09-26,1,1,0.91,1.2,11,7,4,2,5,3,6.77,12.48,1.08,1.59
299,Marseille,Metz,Ligue_1,2020-09-26,1,1,0.86,1.11,17,14,3,3,7,0,5.32,18.95,1.13,1.56
300,Elche,Real Sociedad,La_Liga,2020-09-26,0,3,1.24,3.37,5,27,2,7,2,13,23.64,7.62,0.23,2.66
301,Real Betis,Real Madrid,La_Liga,2020-09-26,2,3,1.41,3.86,15,11,5,4,5,7,15.68,10.25,0.19,2.73
302,FC Tambov,Spartak Moscow,RFPL,2020-09-26,0,2,0.51,0.65,9,15,2,4,6,2,12.35,6.5,1.14,1.44
303,Borussia M.Gladbach,Union Berlin,Bundesliga,2020-09-26,1,1,1.48,0.77,14,14,6,2,1,3,11.05,14.18,1.96,0.78
304,Valencia,SD Huesca,La_Liga,2020-09-26,1,1,0.31,1.11,5,17,2,4,3,3,11.63,4.83,0.6,2.07
305,Mainz 05,VfB Stuttgart,Bundesliga,2020-09-26,1,4,1.04,2.97,12,15,2,7,3,8,11.26,9.88,0.26,2.62
306,Schalke 04,Werder Bremen,Bundesliga,2020-09-26,1,3,1.68,3.1,17,17,4,7,3,4,3.95,9.47,0.49,2.34
307,Arminia Bielefeld,FC Cologne,Bundesliga,2020-09-26,1,0,0.16,1.37,7,12,2,2,1,10,10.96,13.1,0.26,2.56
308,Inter,Fiorentina,Serie_A,2020-09-26,4,3,1.7,2.25,20,10,7,4,17,9,5.22,24.21,0.99,1.79
309,Burnley,Southampton,Premier_League,2020-09-26,0,1,0.35,0.71,9,5,2,1,9,6,8.21,13.75,0.87,1.71
310,Alaves,Getafe,La_Liga,2020-09-26,0,0,0.87,1.31,9,11,0,4,3,2,6.43,8.69,0.97,1.74
311,Cagliari,Lazio,Serie_A,2020-09-26,0,2,0.92,1.99,9,16,2,6,0,8,11.15,13.85,0.53,2.25
312,Reims,Paris Saint Germain,Ligue_1,2020-09-27,0,2,0.21,3.94,8,21,3,7,6,26,26.77,11.2,0.03,2.96
313,Real Valladolid,Celta Vigo,La_Liga,2020-09-27,1,1,1.52,1.08,10,5,4,1,3,3,4.08,6.58,1.73,0.96
314,Osasuna,Levante,La_Liga,2020-09-27,1,3,0.72,2.99,8,11,4,5,1,8,9.87,6.0,0.13,2.79
315,Angers,Brest,Ligue_1,2020-09-27,3,2,1.12,2.36,12,14,5,6,3,7,8.5,7.75,0.54,2.27
316,Bordeaux,Nice,Ligue_1,2020-09-27,0,0,1.18,0.65,18,13,5,2,5,9,17.71,10.26,1.82,0.87
317,West Ham,Wolverhampton Wanderers,Premier_League,2020-09-27,4,0,3.06,0.39,15,11,7,2,1,4,21.76,8.19,2.87,0.08
318,FC Rotor Volgograd,Rubin Kazan,RFPL,2020-09-27,1,3,0.76,3.13,7,27,2,7,4,15,22.92,4.89,0.16,2.75
319,Roma,Juventus,Serie_A,2020-09-27,2,2,2.82,1.91,11,8,5,3,6,3,13.38,9.24,2.05,0.73
320,Crotone,AC Milan,Serie_A,2020-09-27,0,2,0.11,2.43,5,16,0,6,5,6,9.38,9.73,0.05,2.91
321,CSKA Moscow,Lokomotiv Moscow,RFPL,2020-09-27,0,1,1.38,2.01,21,15,4,6,11,12,13.67,10.58,0.89,1.86
322,Barcelona,Villarreal,La_Liga,2020-09-27,4,0,3.51,0.24,17,5,9,1,17,6,14.95,19.15,2.95,0.03
323,Lorient,Lyon,Ligue_1,2020-09-27,1,1,0.3,0.82,4,19,2,6,4,11,17.95,12.33,0.78,1.82
324,Arsenal Tula,FC Rostov,RFPL,2020-09-27,2,3,0.79,1.78,15,8,4,5,4,1,4.0,10.93,0.56,2.22
325,Cadiz,Sevilla,La_Liga,2020-09-27,1,3,1.1,2.21,12,14,5,5,3,13,31.31,3.43,0.64,2.15
326,Manchester City,Leicester,Premier_League,2020-09-27,2,5,1.45,2.87,16,7,5,7,5,3,5.33,25.08,0.42,2.43
327,Tottenham,Newcastle United,Premier_League,2020-09-27,1,1,3.19,0.94,23,6,12,1,6,4,9.68,35.7,2.75,0.16
328,FK Akhmat,Ural,RFPL,2020-09-27,2,0,2.69,0.19,19,4,6,2,8,2,5.43,12.82,2.92,0.05
329,Eibar,Athletic Club,La_Liga,2020-09-27,1,2,0.33,0.51,7,9,1,5,0,5,5.89,7.39,1.05,1.44
330,Sheffield United,Leeds,Premier_League,2020-09-27,0,1,1.53,1.47,15,17,5,9,11,2,11.55,8.94,1.45,1.28
331,Verona,Udinese,Serie_A,2020-09-27,1,0,1.35,2.15,13,22,2,5,5,5,5.81,7.3,0.82,1.95
332,Spezia,Sassuolo,Serie_A,2020-09-27,1,4,1.29,2.65,12,17,5,6,6,16,27.94,7.26,0.53,2.28
333,Monaco,Strasbourg,Ligue_1,2020-09-27,3,2,1.56,1.41,11,11,5,5,6,3,9.09,16.1,1.46,1.25
334,Freiburg,Wolfsburg,Bundesliga,2020-09-27,1,1,0.92,0.41,19,8,7,2,2,6,7.83,11.17,1.79,0.83
335,Nimes,Lens,Ligue_1,2020-09-27,1,1,0.37,1.37,13,15,4,6,5,6,12.5,10.59,0.52,2.22
336,Napoli,Genoa,Serie_A,2020-09-27,6,0,2.34,0.27,18,6,9,0,6,2,12.84,37.92,2.74,0.16
337,Atletico Madrid,Granada,La_Liga,2020-09-27,6,1,3.6,1.31,17,11,10,6,14,4,6.93,9.9,2.7,0.2
338,Dijon,Montpellier,Ligue_1,2020-09-27,2,2,1.61,2.31,15,14,6,5,7,6,9.67,8.84,0.89,1.88
339,Hoffenheim,Bayern Munich,Bundesliga,2020-09-27,4,1,2.52,1.17,17,16,8,4,6,11,13.12,5.82,2.31,0.52
340,Fulham,Aston Villa,Premier_League,2020-09-28,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
341,Liverpool,Arsenal,Premier_League,2020-09-28,3,1,2.74,1.18,21,4,8,3,11,3,8.83,35.86,2.43,0.4
342,Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
343,Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
344,Getafe,Real Betis,La_Liga,2020-09-29,3,0,0.91,0.44,8,10,4,2,1,3,13.84,3.58,1.81,0.83
345,Real Sociedad,Valencia,La_Liga,2020-09-29,0,1,0.59,0.84,11,9,3,5,12,4,7.19,11.33,1.01,1.61
346,Lazio,Atalanta,Serie_A,2020-09-30,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
347,Benevento,Inter,Serie_A,2020-09-30,2,5,1.25,4.53,11,18,6,8,2,12,21.35,7.32,0.06,2.9
348,Real Madrid,Real Valladolid,La_Liga,2020-09-30,1,0,2.65,0.54,15,11,5,5,9,2,11.21,17.74,2.76,0.16
349,Udinese,Spezia,Serie_A,2020-09-30,0,2,1.87,0.81,13,4,3,2,11,0,14.13,12.94,2.21,0.56
350,SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
351,Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
352,Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
353,Sevilla,Levante,La_Liga,2020-10-01,1,0,1.05,0.38,16,3,2,1,8,0,6.5,13.08,1.95,0.71
354,Celta Vigo,Barcelona,La_Liga,2020-10-01,0,3,0.57,0.93,10,7,3,4,5,7,7.65,11.28,0.92,1.72
355,Athletic Club,Cadiz,La_Liga,2020-10-01,0,1,0.55,0.26,13,3,4,1,5,4,4.4,11.57,1.55,0.94
356,Fiorentina,Sampdoria,Serie_A,2020-10-02,1,2,2.03,2.18,22,18,5,8,5,6,8.21,12.48,1.28,1.48
357,Union Berlin,Mainz 05,Bundesliga,2020-10-02,4,0,2.07,0.19,11,5,7,0,1,2,11.08,13.35,2.72,0.17
358,Paris Saint Germain,Angers,Ligue_1,2020-10-02,6,1,2.91,0.94,18,8,12,2,15,2,10.39,33.22,2.59,0.29
359,Eintracht Frankfurt,Hoffenheim,Bundesliga,2020-10-03,2,1,3.57,0.77,16,12,8,4,10,6,12.27,17.6,2.88,0.08
360,Atletico Madrid,Villarreal,La_Liga,2020-10-03,0,0,0.61,0.2,13,6,0,2,8,7,10.77,15.14,1.71,0.8
361,VfB Stuttgart,Bayer Leverkusen,Bundesliga,2020-10-03,1,1,0.8,1.7,12,15,3,6,5,4,12.43,7.9,0.66,2.1
362,Real Sociedad,Getafe,La_Liga,2020-10-03,3,0,2.2,0.32,11,5,6,1,1,1,4.35,7.27,2.74,0.16
363,FC Cologne,Borussia M.Gladbach,Bundesliga,2020-10-03,1,3,0.24,2.06,8,15,2,11,2,12,12.94,7.06,0.16,2.73
364,FC Tambov,Arsenal Tula,RFPL,2020-10-03,1,1,2.19,0.35,16,11,6,5,8,3,7.16,10.73,2.71,0.19
365,Leeds,Manchester City,Premier_League,2020-10-03,1,1,2.57,1.42,12,23,7,2,5,10,7.83,11.38,2.16,0.66
366,Lens,Saint-Etienne,Ligue_1,2020-10-03,2,0,2.13,0.09,13,2,5,1,8,0,3.1,22.0,2.86,0.08
367,Chelsea,Crystal Palace,Premier_League,2020-10-03,4,0,2.51,0.1,17,4,6,0,5,2,4.45,25.88,2.93,0.04
368,Nice,Nantes,Ligue_1,2020-10-03,2,1,1.97,1.14,18,11,7,1,11,3,3.6,32.71,2.0,0.74
369,Newcastle United,Burnley,Premier_League,2020-10-03,3,1,1.96,0.44,10,7,5,3,4,10,20.75,9.42,2.61,0.25
370,Sassuolo,Crotone,Serie_A,2020-10-03,4,1,1.86,1.59,7,15,4,6,4,13,8.35,9.74,1.6,1.11
371,Werder Bremen,Arminia Bielefeld,Bundesliga,2020-10-03,1,0,0.35,1.02,7,10,2,5,5,7,20.58,7.7,0.65,2.03
372,Udinese,Roma,Serie_A,2020-10-03,0,1,1.67,0.76,10,13,4,3,2,4,16.11,8.1,2.11,0.65
373,RasenBallsport Leipzig,Schalke 04,Bundesliga,2020-10-03,4,0,3.26,0.22,21,5,7,1,10,0,4.04,42.67,2.94,0.04
374,Everton,Brighton,Premier_League,2020-10-03,4,2,2.34,1.17,11,11,6,3,10,7,9.06,9.17,2.26,0.53
375,Elche,SD Huesca,La_Liga,2020-10-03,0,0,0.19,1.7,2,18,0,4,0,12,10.39,7.72,0.24,2.6
376,Ural,CSKA Moscow,RFPL,2020-10-03,0,2,0.31,0.97,8,12,1,3,6,12,9.35,28.22,0.68,1.96
377,Valencia,Real Betis,La_Liga,2020-10-03,0,2,0.48,1.88,5,17,2,8,3,7,9.85,8.1,0.35,2.47
378,Borussia Dortmund,Freiburg,Bundesliga,2020-10-03,4,0,2.83,0.45,16,6,7,2,15,0,8.26,23.86,2.85,0.09
379,Real Valladolid,Eibar,La_Liga,2020-10-03,1,2,1.09,1.69,9,11,3,5,3,2,8.0,7.68,0.79,1.9
380,Spartak Moscow,Zenit St. Petersburg,RFPL,2020-10-03,1,1,1.72,1.85,13,22,4,11,3,10,9.05,12.79,1.28,1.4
381,FC Ufa,FC Rotor Volgograd,RFPL,2020-10-03,0,0,0.92,0.23,13,6,4,0,2,4,8.64,16.77,1.98,0.64
382,Rennes,Reims,Ligue_1,2020-10-04,2,2,2.09,1.05,18,9,3,4,7,2,6.15,20.38,2.12,0.65
383,Montpellier,Nimes,Ligue_1,2020-10-04,0,1,0.69,0.59,12,8,2,1,6,4,10.74,7.82,1.38,1.22
384,Cadiz,Granada,La_Liga,2020-10-04,1,1,1.09,0.82,14,13,4,5,1,4,9.54,4.0,1.6,1.07
385,Metz,Lorient,Ligue_1,2020-10-04,3,1,1.6,0.85,16,10,8,4,6,1,9.24,12.63,2.01,0.7
